"CODE","DIAGNOSTIC"
"M00","artritis piogena"
"M000","artritis y poliartritis estafilococica"
"M001","artritis y poliartritis neumococica"
"M002","otras artritis y poliartritis estreptococicas"
"M008","artritis y poliartritis debidas a otros agentes bacterianos especificados"
"M009","artritis piogena, no especificada"
"M01","infecciones directas de la articulacion en enfermedades infecciosas y parasitarias clasificadas en otra parte"
"M010","artritis meningococica"
"M011","artritis tuberculosa"
"M012","artritis en la enfermedad de lyme"
"M013","artritis en otras enfermedades bacterianas clasificadas en otra parte"
"M014","artritis en rubeola"
"M015","artritis en otras enfermedades virales clasificadas en otra parte"
"M016","artritis en micosis"
"M018","artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte"
"M02","artropatias reactivas"
"M020","artropatia consecutiva a derivacion intestinal"
"M021","artropatia postdisenterica"
"M022","artropatia postinmunizacion"
"M023","enfermedad de reiter"
"M028","otras artropatias reactivas"
"M029","artropatia reactiva, no especificada"
"M03","artropatias postinfecciosas y reactivas en enfermedades clasificadas en otra parte"
"M030","artritis postmeningococica"
"M031","artropatia postinfecciosa en sifilis"
"M032","otras artropatias postinfecciosas en enfermedades clasificadas en otra parte"
"M036","artropatia reactiva en otras enfermedades clasificadas en otra parte"
"M05","artritis reumatoide seropositiva"
"M050","sindrome de felty"
"M051","enfermedad reumatoide del pulmon"
"M052","vasculitis reumatoide"
"M053","artritis reumatoide con compromiso de otros organos o sistemas"
"M058","otras artritis reumatoideas seropositivas"
"M059","artritis reumatoidea seropositiva, sin otra especificacion"
"M06","otras artritis reumatoides"
"M060","artritis reumatoide seronegativa"
"M061","enfermedad de still de comienzo en el adulto"
"M062","bursitis reumatoide"
"M063","nodulo reumatoide"
"M064","poliartropatia inflamatoria"
"M068","otras artritis reumatoides especificadas"
"M069","artritis reumatoide, no especificada"
"M07","artropatias psoriasicas y enteropaticas"
"M070","artropatia psoriasica interfalangica distal"
"M071","artritis mutilante"
"M072","espondilitis psoriasica"
"M073","otras artropatias psoriasicas"
"M074","artropatia en la enfermedad de crohn [enteritis regional]"
"M075","artropatia en la colitis ulcerativa"
"M076","otras artropatias enteropaticas"
"M08","artritis juvenil"
"M080","artritis reumatoide juvenil"
"M081","espondilitis anquilosante juvenil"
"M082","artritis juvenil de comienzo generalizado"
"M083","poliartritis juvenil (seronegativa)"
"M084","artritis juvenil pauciarticular"
"M088","otras artritis juveniles"
"M089","artritis juvenil, no especificada"
"M09","artritis juvenil en enfermedades clasificadas en otra parte"
"M090","artritis juvenil en la psoriasis"
"M091","artritis juvenil en la enfermedad de crohn [enteritis regional]"
"M092","artritis juvenil en la colitis ulcerativa"
"M098","artritis juvenil en otras enfermedades clasificadas en otra parte"
"M10","gota"
"M100","gota idiopatica"
"M101","gota saturnina"
"M102","gota inducida por drogas"
"M103","gota debida a alteracion de la funcion renal"
"M104","otras gotas secundarias"
"M109","gota, no especificada"
"M11","otras artropatias por cristales"
"M110","enfermedad por deposito de hidroxiapatita"
"M111","condrocalcinosis familiar"
"M112","otras condrocalcinosis"
"M118","otras artropatias por cristales, especificadas"
"M119","artropatia por cristales, no especificada"
"M12","otras artropatias especificas"
"M120","artropatia postraumatica cronica [de jaccoud]"
"M121","enfermedad de kaschin-beck"
"M122","sinovitis vellonodular (pigmentada)"
"M123","reumatismo palindromico"
"M124","hidrartrosis intermitente"
"M125","artropatia traumatica"
"M128","otras artropatias especificas, no clasificadas en otra parte"
"M13","otras artritis"
"M130","poliartritis, no especificada"
"M131","monoartritis, no clasificada en otra parte"
"M138","otras artritis especificadas"
"M139","artritis, no especificada"
"M14","artropatia en otras enfermedades clasificadas en otra parte"
"M140","artropatia gotosa debida a defectos enzimaticos y a otros trastornos hereditarios, clasificados en otra parte"
"M141","artropatia por cristales en otros trastornos metabolicos"
"M142","artropatia diabetica"
"M143","dermatoartritis lipoide"
"M144","artropatia en la amiloidosis"
"M145","artropatia en otros trastornos endocrinos, metabolicos y nutricionales"
"M146","artropatia neuropatica"
"M148","artropatia en otras enfermedades especificadas, clasificadas en otra parte"
"M15","poliartrosis"
"M150","(osteo)artrosis primaria generalizada"
"M151","nodulos de heberden (con artropatia)"
"M152","nodulos de bouchard (con artropatia)"
"M153","artrosis secundaria multiple"
"M154","(osteo)artrosis erosiva"
"M158","otras poliartrosis"
"M159","poliartrosis, no especificada"
"M16","coxartrosis [artrosis de la cadera]"
"M160","coxartrosis primaria, bilateral"
"M161","otras coxartrosis primarias"
"M162","coxartrosis a consecuencia de displasia, bilateral"
"M163","otras coxartrosis displasicas"
"M164","coxartrosis postraumatica, bilateral"
"M165","otra coxartrosis postraumatica"
"M166","otra coxartrosis secundaria, bilateral"
"M167","otras coxartrosis secundarias"
"M169","coxartrosis, no especificada"
"M17","gonartrosis [artrosis de la rodilla]"
"M170","gonartrosis primaria, bilateral"
"M171","otras gonartrosis primarias"
"M172","gonartrosis postraumatica, bilateral"
"M173","otras gonartrosis postraumaticas"
"M174","otras gonartrosis secundarias, bilaterales"
"M175","otras gonartrosis secundarias"
"M179","gonartrosis, no especificada"
"M18","artrosis de la primera articulacion carpometacarpiana"
"M180","artrosis primaria de la primera articulacion carpometacarpiana, bilateral"
"M181","otras artrosis primarias de la primera articulacion carpometacarpiana"
"M182","artrosis postraumatica de la primera articulacion carpometacarpiana, bilateral"
"M183","otras artrosis postraumaticas de la primera articulacion carpometacarpiana"
"M184","otras artrosis secundarias de la primera articulacion carpometacarpiana, bilaterales"
"M185","otras artrosis secundarias de la primera articulacion carpometacarpiana"
"M189","artrosis de la primera articulacion carpometacarpiana, sin otra especificacion"
"M19","otras artrosis"
"M190","artrosis primaria de otras articulaciones"
"M191","artrosis postraumatica de otras articulaciones"
"M192","otras artrosis secundarias"
"M198","otras artrosis especificadas"
"M199","artrosis, no especificada"
"M20","deformidades adquiridas de los dedos de la mano y del pie"
"M200","deformidad de dedo(s) de la mano"
"M201","hallux valgus (adquirido)"
"M202","hallux rigidus"
"M203","otras deformidades del hallux (adquiridas)"
"M204","otro(s) dedo(s) del pie en martillo (adquiridos)"
"M205","otras deformidades (adquiridas) del (de los) dedo(s) del pie"
"M206","deformidades adquiridas de los dedos del pie, no especificadas"
"M21","otras deformidades adquiridas de los miembros"
"M210","deformidad en valgo, no clasificada en otra parte"
"M211","deformidad en varo, no clasificada en otra parte"
"M212","deformidad en flexion"
"M213","muñeca o pie en pendulo (adquirido)"
"M214","pie plano [pes planus] (adquirido)"
"M215","mano o pie en garra o en talipes, pie equinovaro o zambo adquiridos"
"M216","otras deformidades adquiridas del tobillo y del pie"
"M217","longitud desigual de los miembros (adquirida)"
"M218","otras deformidades adquiridas de los miembros, especificadas"
"M219","deformidad adquirida del miembro, no especificada"
"M22","trastornos de la rotula"
"M220","luxacion recidivante de la rotula"
"M221","subluxacion recidivante de la rotula"
"M222","trastornos rotulofemorales"
"M223","otros desarreglos de la rotula"
"M224","condromalacia de la rotula"
"M228","otros trastornos de la rotula"
"M229","trastorno de la rotula, no especificado"
"M23","trastorno interno de la rodilla"
"M230","menisco quistico"
"M231","menisco discoide (congenito)"
"M232","trastorno de menisco debido a desgarro o lesion antigua"
"M233","otros trastornos de los meniscos"
"M234","cuerpo flotante en la rodilla"
"M235","inestabilidad cronica de la rodilla"
"M236","otra ruptura espontanea del (de los) ligamento(s) de la rodilla"
"M238","otros trastornos internos de la rodilla"
"M239","trastorno interno de la rodilla, no especificado"
"M24","otros trastornos articulares especificos"
"M240","cuerpo flotante articular"
"M241","otros trastornos del cartilago articular"
"M242","trastorno del ligamento"
"M243","luxacion y subluxacion patologica de la articulacion, no clasificada en otra parte"
"M244","luxacion y subluxacion recidivante de la articulacion"
"M245","contractura articular"
"M246","anquilosis articular"
"M247","protrusion de acetabulo"
"M248","otras lesiones articulares especificas, no clasificadas en otra parte"
"M249","desarreglo articular, no especificado"
"M25","otros trastornos articulares, no clasificados en otra parte"
"M250","hemartrosis"
"M251","fistula articular"
"M252","articulacion inestable"
"M253","otras inestabilidades articulares"
"M254","derrame articular"
"M255","dolor en articulacion"
"M256","rigidez articular, no clasificada en otra parte"
"M257","osteofito"
"M258","otros trastornos articulares especificados"
"M259","trastorno articular, no especificado"
"M30","poliarteritis nudosa y afecciones relacionadas"
"M300","poliarteritis nudosa"
"M301","poliarteritis con compromiso pulmonar [churg-strauss]"
"M302","poliarteritis juvenil"
"M303","sindrome mucocutaneo linfonodular [kawasaki]"
"M308","otras afecciones relacionadas con la poliarteritis nudosa"
"M31","otras vasculopatias necrotizantes"
"M310","angiitis debida a hipersensibilidad"
"M311","microangiopatia trombotica"
"M312","granuloma letal de la linea media"
"M313","granulomatosis de wegener"
"M314","sindrome del cayado de la aorta [takayasu]"
"M315","arteritis de celulas gigantes con polimialgia reumatica"
"M316","otras arteritis de celulas gigantes"
"M317","poliangiitis microscopica"
"M318","otras vasculopatias necrotizantes especificadas"
"M319","vasculopatia necrotizante, no especificada"
"M32","lupus eritematoso sistemico"
"M320","lupus eritematoso sistemico, inducido por drogas"
"M321","lupus eritematoso sistemico con compromiso de organos o sistemas"
"M328","otras formas de lupus eritematoso sistemico"
"M329","lupus eritematoso sistemico, sin otra especificacion"
"M33","dermatopolimiositis"
"M330","dermatomiositis juvenil"
"M331","otras dermatomiositis"
"M332","polimiositis"
"M339","dermatopolimiositis, no especificada"
"M34","esclerosis sistemica"
"M340","esclerosis sistemica progresiva"
"M341","sindrome cr(e)st"
"M342","esclerosis sistemica inducida por drogas o productos quimicos"
"M348","otras formas de esclerosis sistemica"
"M349","esclerosis sistemica, no especificada"
"M35","otro compromiso sistemico del tejido conjuntivo"
"M350","sindrome seco [sjögren]"
"M351","otros sindromes superpuestos"
"M352","enfermedad de behcet"
"M353","polimialgia reumatica"
"M354","fascitis difusa (eosinofilica)"
"M355","fibrosclerosis multifocal"
"M356","paniculitis recidivante [weber-christian]"
"M357","sindrome de hipermovilidad"
"M358","otras enfermedades especificadas con compromiso sistemico del tejido conjuntivo"
"M359","compromiso sistemico del tejido conjuntivo, no especificado"
"M36","trastornos sistemicos del tejido conjuntivo en enfermedades clasificadas en otra parte"
"M360","dermato(poli)miositis en enfermedad neoplasica"
"M361","artropatia en enfermedad neoplasica"
"M362","artropatia hemofilica"
"M363","artropatia en otros trastornos de la sangre"
"M364","artropatia en reacciones de hipersensibilidad clasificadas en otra parte"
"M368","trastornos sistemicos del tejido conjuntivo en otras enfermedades clasificadas en otra parte"
"M40","cifosis y lordosis"
"M400","cifosis postural"
"M401","otras cifosis secundarias"
"M402","otras cifosis y las no especificadas"
"M403","sindrome de espalda plana"
"M404","otras lordosis"
"M405","lordosis, no especificada"
"M41","escoliosis"
"M410","escoliosis idiopatica infantil"
"M411","escoliosis idiopatica juvenil"
"M412","otras escoliosis idiopaticas"
"M413","escoliosis toracogenica"
"M414","escoliosis neuromuscular"
"M415","otras escoliosis secundarias"
"M418","otras formas de escoliosis"
"M419","escoliosis, no especificada"
"M42","osteocondrosis de la columna vertebral"
"M420","osteocondrosis juvenil de la columna vertebral"
"M421","osteocondrosis de la columna vertebral del adulto"
"M429","osteocondrosis vertebral, no especificada"
"M43","otras dorsopatias deformantes"
"M430","espondilolisis"
"M431","espondilolistesis"
"M432","otras fusiones de la columna vertebral"
"M433","subluxacion atlanto-axoidea recurrente, con mielopatia"
"M434","otras subluxaciones atlanto-axoideas recurrentes"
"M435","otras subluxaciones vertebrales recurrentes"
"M436","torticolis"
"M438","otras dorsopatias deformantes de la columna vertebral especificadas"
"M439","dorsopatia deformante, no especificada"
"M45","espondilitis anquilosante"
"M46","otras espondilopatias inflamatorias"
"M460","entesopatia vertebral"
"M461","sacroiliitis, no clasificada en otra parte"
"M462","osteomielitis de vertebra"
"M463","infeccion de disco intervertebral (piogena)"
"M464","discitis, no especificada"
"M465","otras espondilopatias infecciosas"
"M468","otras espondilopatias inflamatorias especificadas"
"M469","espondilopatia inflamatoria, no especificada"
"M47","espondilosis"
"M470","sindromes de compresion de la arteria espinal o vertebral anterior"
"M471","otras espondilosis con mielopatia"
"M472","otras espondilosis con radiculopatia"
"M478","otras espondilosis"
"M479","espondilosis, no especificada"
"M48","otras espondilopatias"
"M480","estenosis espinal"
"M481","hiperostosis anquilosante [forestier]"
"M482","espondilopatia interespinosa (vertebras "en beso")"
"M483","espondilopatia traumatica"
"M484","fractura de vertebra por fatiga"
"M485","vertebra colapsada, no clasificada en otra parte"
"M488","otras espondilopatias especificadas"
"M489","espondilopatia, no especificada"
"M49","espondilopatias en enfermedades clasificadas en otra parte"
"M490","tuberculosis de la columna vertebral"
"M491","espondilitis por brucelosis"
"M492","espondilitis por enterobacterias"
"M493","espondilopatia en otras enfermedades infecciosas y parasitarias clasificadas en otra parte"
"M494","espondilopatia neuropatica"
"M495","vertebra colapsada en enfermedades clasificadas en otra parte"
"M498","espondilopatia en otras enfermedades clasificadas en otra parte"
"M50","trastornos de disco cervical"
"M500","trastorno de disco cervical con mielopatia"
"M501","trastorno de disco cervical con radiculopatia"
"M502","otros desplazamientos de disco cervical"
"M503","otras degeneraciones de disco cervical"
"M508","otros trastornos de disco cervical"
"M509","trastorno de disco cervical, no especificado"
"M51","otros trastornos de los discos intervertebrales"
"M510","trastornos de discos intervertebrales lumbares y otros, con mielopatia"
"M511","trastornos de disco lumbar y otros, con radiculopatia"
"M512","otros desplazamientos especificados de disco intervertebral "
"M513","otras degeneraciones especificadas de disco intervertebral"
"M514","nodulos de schmorl"
"M518","otros trastornos especificados de los discos intervertebrales"
"M519","trastorno de los discos intervertebrales, no especificado"
"M53","otras dorsopatias, no clasificadas en otra parte"
"M530","sindrome cervicocraneal"
"M531","sindrome cervicobraquial"
"M532","inestabilidad de la columna vertebral"
"M533","trastornos sacrococcigeos, no clasificados en otra parte"
"M538","otras dorsopatias especificadas"
"M539","dorsopatia, no especificada"
"M54","dorsalgia"
"M540","paniculitis que afecta regiones del cuello y de la espalda"
"M541","radiculopatia"
"M542","cervicalgia"
"M543","ciatica"
"M544","lumbago con ciatica"
"M545","lumbago no especificado"
"M546","dolor en la columna dorsal"
"M548","otras dorsalgias"
"M549","dorsalgia, no especificada"
"M60","miositis"
"M600","miositis infecciosa"
"M601","miositis intersticial"
"M602","granuloma por cuerpo extraño en tejido blando, no clasificado en otra parte"
"M608","otras miositis"
"M609","miositis, no especificada"
"M61","calcificacion y osificacion del musculo"
"M610","miositis osificante traumatica"
"M611","miositis osificante progresiva"
"M612","calcificacion y osificacion paralitica del musculo"
"M613","calcificacion y osificacion de los musculos asociadas con quemaduras"
"M614","otras calcificaciones del musculo"
"M615","otras osificaciones del musculo"
"M619","calcificacion y osificacion del musculo, no especificada"
"M62","otros trastornos de los musculos"
"M620","diastasis del musculo"
"M621","otros desgarros (no traumaticos) del musculo"
"M622","infarto isquemico del musculo"
"M623","sindrome de inmovilidad (paraplejico)"
"M624","contractura muscular"
"M625","atrofia y desgaste musculares, no clasificados en otra parte"
"M626","distension muscular"
"M628","otros trastornos especificados de los musculos"
"M629","trastorno muscular, no especificado"
"M63","trastornos de los musculos en enfermedades clasificadas en otra parte"
"M630","miositis en enfermedades bacterianas clasificadas en otra parte"
"M631","miositis en infecciones por protozoarios y parasitos clasificados en otra parte"
"M632","miositis en otras enfermedades infecciosas clasificadas en otra parte"
"M633","miositis en sarcoidosis"
"M638","otros trastornos de los musculos en enfermedades clasificadas en otra parte"
"M65","sinovitis y tenosinovitis"
"M650","absceso de vaina tendinosa"
"M651","otras (teno)sinovitis infecciosas"
"M652","tendinitis calcificada"
"M653","dedo en gatillo"
"M654","tenosinovitis de estiloides radial [de quervain]"
"M658","otras sinovitis y tenosinovitis"
"M659","sinovitis y tenosinovitis, no especificada"
"M66","ruptura espontanea de la sinovia y del tendon"
"M660","ruptura de quiste sinovial popliteo"
"M661","ruptura de la sinovia"
"M662","ruptura espontanea de tendones extensores"
"M663","ruptura espontanea de tendones flexores"
"M664","ruptura espontanea de otros tendones"
"M665","ruptura espontanea de tendon no especificado"
"M67","otros trastornos de la sinovia y del tendon"
"M670","acortamiento del tendon de aquiles (adquirido)"
"M671","otras contracturas de tendon (vaina)"
"M672","hipertrofia sinovial, no clasificada en otra parte"
"M673","sinovitis transitoria"
"M674","ganglion"
"M678","otros trastornos especificados de la sinovia y del tendon"
"M679","trastorno sinovial y tendinoso, no especificado"
"M68","trastornos de los tendones y de la sinovia en enfermedades clasificadas en otra parte"
"M680","sinovitis y tenosinovitis en enfermedades bacterianas clasificadas en otra parte"
"M688","otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte"
"M70","trastornos de los tejidos blandos relacionados con el uso, el uso excesivo y la presion"
"M700","sinovitis crepitante cronica de la mano y de la muñeca"
"M701","bursitis de la mano"
"M702","bursitis del olecranon"
"M703","otras bursitis del codo"
"M704","otras bursitis prerrotulianas"
"M705","otras bursitis de la rodilla"
"M706","bursitis del trocanter"
"M707","otras bursitis de la cadera"
"M708","otros trastornos de los tejidos blandos relacionados con el uso, el uso excesivo y la presion"
"M709","trastorno no especificado de los tejidos blandos relacionado con el uso, el uso excesivo y la presion"
"M71","otras bursopatias"
"M710","absceso de la bolsa sinovial"
"M711","otras bursitis infecciosas"
"M712","quiste sinovial del hueco popliteo [de baker]"
"M713","otros quistes de la bolsa serosa"
"M714","deposito de calcio  en la bolsa serosa"
"M715","otras bursitis, no clasificadas en otra parte"
"M718","otros trastornos especificados de la bolsa serosa"
"M719","bursopatia, no especificada"
"M72","trastornos fibroblasticos"
"M720","fibromatosis de la aponeurosis palmar [dupuytren]"
"M721","nodulos interfalangicos"
"M722","fibromatosis de la aponeurosis plantar"
"M723","fascitis nodular"
"M724","fibromatosis seudosarcomatosa"
"M725","fascitis, no clasificada en otra parte"
"M726","fascitis necrotizante"
"M728","otros trastornos fibroblasticos"
"M729","trastorno fibroblastico, no especificado"
"M73","trastornos de los tejidos blandos en enfermedades clasificadas en otra parte"
"M730","bursitis gonococica"
"M731","bursitis sifilitica"
"M738","otros trastornos de los tejidos blandos en enfermedades clasificadas en otra parte"
"M75","lesiones del hombro"
"M750","capsulitis adhesiva del hombro"
"M751","sindrome del manguito rotatorio"
"M752","tendinitis del biceps"
"M753","tendinitis calcificante del hombro"
"M754","sindrome de abduccion dolorosa del hombro"
"M755","bursitis del hombro"
"M758","otras lesiones del hombro"
"M759","lesion del hombro, no especificada"
"M76","entesopatias del miembro inferior, excluido el pie"
"M760","tendinitis del gluteo"
"M761","tendinitis del psoas"
"M762","espolon de la cresta iliaca"
"M763","sindrome del tendon del tensor de la fascia lata"
"M764","bursitis tibial colateral [pellegrini-stieda]"
"M765","tendinitis rotuliana"
"M766","tendinitis aquiliana"
"M767","tendinitis peroneal"
"M768","otras entesopatias del miembro inferior, excluido el pie"
"M769","entesopatia del miembro inferior, no especificada"
"M77","otras entesopatias"
"M770","epicondilitis media"
"M771","epicondilitis lateral"
"M772","periartritis de la muñeca"
"M773","espolon calcaneo"
"M774","metatarsalgia"
"M775","otras entesopatias del pie"
"M778","otras entesopatias, no clasificadas en otra parte"
"M779","entesopatia, no especificada"
"M79","otros trastornos de los tejidos blandos, no clasificados en otra parte"
"M790","reumatismo, no especificado"
"M791","mialgia"
"M792","neuralgia y neuritis, no especificadas"
"M793","paniculitis, no especificada"
"M794","hipertrofia de paquete adiposo (infrarrotuliano)"
"M795","cuerpo extraño residual en tejido blando"
"M796","dolor en miembro"
"M797","fibromialgia"
"M798","otros trastornos especificados de los tejidos blandos"
"M799","trastorno de los tejidos blandos, no especificado"
"M80","osteoporosis con fractura patologica"
"M800","osteoporosis postmenopausica, con fractura patologica"
"M801","osteoporosis postooforectomia, con fractura patologica"
"M802","osteoporosis por desuso, con fractura patologica"
"M803","osteoporosis por malabsorcion postquirurgica, con fractura patologica"
"M804","osteoporosis inducida por drogas, con fractura patologica"
"M805","osteoporosis idiopatica, con fractura patologica"
"M808","otras osteoporosis, con fractura patologica"
"M809","osteoporosis no especificada, con fractura patologica"
"M81","osteoporosis sin fractura patologica"
"M810","osteoporosis postmenopausica, sin fractura patologica"
"M811","osteoporosis postooforectomia, sin fractura patologica"
"M812","osteoporosis por desuso, sin fractura patologica"
"M813","osteoporosis por malabsorcion postquirurgica, sin fractura patologica"
"M814","osteoporosis inducida por drogas, sin fractura patologica"
"M815","osteoporosis idiopatica, sin fractura patologica"
"M816","osteoporosis localizada [lequesne], sin fractura patologica"
"M818","otras osteoporosis, sin fractura patologica"
"M819","osteoporosis no especificada, sin fractura patologica"
"M82","osteoporosis en enfermedades clasificadas en otra parte"
"M820","osteoporosis en mielomatosis multiple"
"M821","osteoporosis en trastornos endocrinos"
"M828","osteoporosis en otras enfermedades clasificadas en otra parte"
"M83","osteomalacia del adulto"
"M830","osteomalacia puerperal"
"M831","osteomalacia senil"
"M832","osteomalacia del adulto debida a malabsorcion"
"M833","osteomalacia del adulto debida a desnutricion"
"M834","enfermedad de los huesos por aluminio"
"M835","otras osteomalacias del adulto inducidas por drogas"
"M838","otras osteomalacias del adulto"
"M839","osteomalacia del adulto, no especificada"
"M84","trastornos de la continuidad del hueso"
"M840","consolidacion defectuosa de fractura"
"M841","falta de consolidacion de fractura [seudoartrosis]"
"M842","consolidacion retardada de fractura"
"M843","fractura por tension, no clasificada en otra parte"
"M844","fractura patologica, no clasificada en otra parte"
"M848","otros trastornos de la continuidad del hueso"
"M849","trastorno de la continuidad del hueso, no especificado"
"M85","otros trastornos de la densidad y de la estructura oseas"
"M850","displasia fibrosa (monostotica)"
"M851","fluorosis del esqueleto"
"M852","hiperostosis del craneo"
"M853","osteitis condensante"
"M854","quiste oseo solitario"
"M855","quiste oseo aneurismatico"
"M856","otros quistes oseos"
"M858","otros trastornos especificados de la densidad y de la estructura oseas"
"M859","trastorno de la densidad y de la estructura oseas, no especificado"
"M86","osteomielitis"
"M860","osteomielitis hematogena aguda"
"M861","otras osteomielitis agudas"
"M862","osteomielitis subaguda"
"M863","osteomielitis multifocal cronica"
"M864","osteomielitis cronica con drenaje del seno"
"M865","otras osteomielitis hematogenas cronicas"
"M866","otras osteomielitis cronicas"
"M868","otras osteomielitis"
"M869","osteomielitis, no especificada"
"M87","osteonecrosis"
"M870","necrosis aseptica idiopatica osea"
"M871","osteonecrosis debida a drogas"
"M872","osteonecrosis debida a traumatismo previo"
"M873","otras osteonecrosis secundarias"
"M878","otras osteonecrosis"
"M879","osteonecrosis, no especificada"
"M88","enfermedad de paget de los huesos [osteitis deformante]"
"M880","enfermedad de paget del craneo"
"M888","enfermedad de paget de otros huesos"
"M889","enfermedad osea de paget, huesos no especificados"
"M89","otros trastornos del hueso"
"M890","algoneurodistrofia"
"M891","detencion del crecimiento epifisario"
"M892","otros trastornos del desarrollo y crecimiento oseo"
"M893","hipertrofia del hueso"
"M894","otras osteoartropatias hipertroficas"
"M895","osteolisis"
"M896","osteopatia a consecuencia de poliomielitis"
"M898","otros trastornos especificados del hueso"
"M899","trastorno del hueso, no especificado"
"M90","osteopatias en enfermedades clasificadas en otra parte"
"M900","tuberculosis osea"
"M901","periostitis en otras enfermedades infecciosas clasificadas en otra parte"
"M902","osteopatia en otras enfermedades infecciosas clasificadas en otra parte"
"M903","osteonecrosis en la enfermedad causada por descompresion"
"M904","osteonecrosis debida a hemoglobinopatia"
"M905","osteonecrosis en otras enfermedades clasificadas en otra parte"
"M906","osteitis deformante en enfermedad neoplasica"
"M907","fractura osea en enfermedad neoplasica"
"M908","osteopatia en otras enfermedades clasificadas en otra parte"
"M91","osteocondrosis juvenil de la cadera y de la pelvis"
"M910","osteocondrosis juvenil de la pelvis"
"M911","osteocondrosis juvenil de la cabeza del femur [legg-calve-perthes]"
"M912","coxa plana"
"M913","pseudocoxalgia"
"M918","otras osteocondrosis juveniles de la cadera y de la pelvis"
"M919","osteocondrosis juvenil de la cadera y de la pelvis, sin otra especificacion"
"M92","otras osteocondrosis juveniles"
"M920","osteocondrosis juvenil del humero"
"M921","osteocondrosis juvenil del cubito y del radio"
"M922","osteocondrosis juvenil de la mano"
"M923","otras osteocondrosis juveniles del miembro superior"
"M924","osteocondrosis juvenil de la rotula"
"M925","osteocondrosis juvenil de la tibia y del perone"
"M926","osteocondrosis juvenil del tarso"
"M927","osteocondrosis juvenil del metatarso"
"M928","otras osteocondrosis juveniles especificadas"
"M929","osteocondrosis juvenil, no especificada"
"M93","otras osteocondropatias"
"M930","deslizamiento de la epifisis femoral superior (no traumatico)"
"M931","enfermedad de kienböck del adulto"
"M932","osteocondritis disecante"
"M938","otras osteocondropatias especificadas"
"M939","osteocondropatia, no especificada"
"M94","otros trastornos del cartilago"
"M940","sindrome de la articulacion condrocostal [tietze]"
"M941","policondritis recidivante"
"M942","condromalacia"
"M943","condrolisis"
"M948","otros trastornos especificados del cartilago"
"M949","trastorno del cartilago, no especificado"
"M95","otras deformidades adquiridas del sistema osteomuscular y del tejido conjuntivo"
"M950","deformidad adquirida de la nariz"
"M951","oreja en coliflor"
"M952","otras deformidades adquiridas de la cabeza"
"M953","deformidad adquirida del cuello"
"M954","deformidad adquirida de costillas y torax"
"M955","deformidad adquirida de la pelvis"
"M958","otras deformidades adquiridas especificadas del sistema osteomuscular"
"M959","deformidad adquirida del sistema osteomuscular, no especificada"
"M96","trastornos osteomusculares consecutivos a procedimientos, no clasificados en otra parte"
"M960","seudoartrosis consecutiva a fusion o artrodesis"
"M961","sindrome postlaminectomia, no clasificado en otra parte"
"M962","cifosis postradiacion"
"M963","cifosis postlaminectomia"
"M964","lordosis postquirurgica"
"M965","escoliosis postrradiacion"
"M966","fractura de hueso posterior a insercion o implante ortopedico, protesis articular o placa osea"
"M968","otros trastornos osteomusculares consecutivos a procedimientos"
"M969","trastornos osteomusculares no especificados consecutivos a procedimientos"
"M99","lesiones biomecanicas, no clasificadas en otra parte"
"M990","disfuncion segmental o somatica"
"M991","complejo de subluxacion (vertebral)"
"M992","subluxacion con estenosis del canal neural"
"M993","estenosis osea del canal neural"
"M994","estenosis del canal neural por tejido conjuntivo"
"M995","estenosis del canal neural por disco intervertebral"
"M996","estenosis osea y subluxacion de los agujeros intervertebrales"
"M997","estenosis de los agujeros intervertebrales por tejido conjuntivo o por disco intervertebral"
"M998","otras lesiones biomecanicas"
"M999","lesion biomecanica, no especificada"